              4   3
      635.000
      1210.00
      2155.00
      2800.00
      233.000       269.000         287.000
      233.000       269.000         287.000
      233.000       269.000         287.000
      233.000       269.000         287.000
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.069196E-01    1.088794E-01    1.062664E-01
    1.030000E-01    1.067336E-01    1.086004E-01    1.061113E-01
    1.030000E-01    1.065476E-01    1.083214E-01    1.059563E-01
    1.030000E-01    1.063616E-01    1.080424E-01    1.058013E-01
    1.030000E-01    1.063333E-01    1.080000E-01    1.057778E-01
    1.030000E-01    1.063333E-01    1.080000E-01    1.057778E-01
    1.030000E-01    1.063333E-01    1.080000E-01    1.057778E-01
    1.030000E-01    1.063333E-01    1.080000E-01    1.057778E-01
    1.030000E-01    1.063333E-01    1.080000E-01    1.057778E-01
    1.030000E-01    1.063333E-01    1.080000E-01    1.057778E-01
    1.030000E-01    1.063333E-01    1.080000E-01    1.057778E-01
    1.030000E-01    1.063333E-01    1.080000E-01    1.057778E-01
    1.030000E-01    1.063333E-01    1.080000E-01    1.057778E-01
    1.030000E-01    1.063333E-01    1.080000E-01    1.057778E-01
    1.030000E-01    1.063333E-01    1.080000E-01    1.057778E-01
    1.030000E-01    1.063333E-01    1.080000E-01    1.057778E-01
    1.030000E-01    1.063333E-01    1.080000E-01    1.057778E-01
    1.030000E-01    1.063333E-01    1.080000E-01    1.057778E-01
